Strategy,Level,Num_Features,Model,Accuracy,Precision,Recall,F1,F1_L0,Delta_F1
C,0,96,GradientBoosting,0.8604,0.7874,0.5981,0.6798,0.6798,0.0
C,1,44,GradientBoosting,0.8583,0.8073,0.5624,0.663,0.6798,-0.0168
C,2,5,GradientBoosting,0.8371,0.7992,0.4581,0.5824,0.6798,-0.0974
C,3,1,GradientBoosting,0.7519,0.0,0.0,0.0,0.6798,-0.6798
C,0,96,LogisticRegression,0.8443,0.7322,0.5865,0.6513,0.6513,0.0
C,1,44,LogisticRegression,0.843,0.7299,0.5821,0.6476,0.6513,-0.0037
C,2,5,LogisticRegression,0.8094,0.7082,0.393,0.5055,0.6513,-0.1458
C,3,1,LogisticRegression,0.7466,0.3894,0.0393,0.0713,0.6513,-0.58
C,0,96,RandomForest,0.8521,0.7394,0.6227,0.676,0.676,0.0
C,1,44,RandomForest,0.8409,0.705,0.616,0.6575,0.676,-0.0185
C,2,5,RandomForest,0.8229,0.71,0.4826,0.5746,0.676,-0.1014
C,3,1,RandomForest,0.752,0.3333,0.0004,0.0009,0.676,-0.6751
H,0,96,GradientBoosting,0.8604,0.7874,0.5981,0.6798,0.6798,0.0
H,1,95,GradientBoosting,0.8568,0.7817,0.5861,0.6699,0.6798,-0.0099
H,2,79,GradientBoosting,0.8467,0.7718,0.5415,0.6364,0.6798,-0.0434
H,3,66,GradientBoosting,0.8318,0.7664,0.4625,0.5769,0.6798,-0.1029
H,0,96,LogisticRegression,0.8443,0.7322,0.5865,0.6513,0.6513,0.0
H,1,95,LogisticRegression,0.8432,0.7302,0.583,0.6483,0.6513,-0.003
H,2,79,LogisticRegression,0.8317,0.6976,0.5669,0.6255,0.6513,-0.0258
H,3,66,LogisticRegression,0.8103,0.7114,0.3947,0.5077,0.6513,-0.1436
H,0,96,RandomForest,0.8521,0.7394,0.6227,0.676,0.676,0.0
H,1,95,RandomForest,0.8331,0.6852,0.6039,0.642,0.676,-0.034
H,2,79,RandomForest,0.8237,0.6596,0.5963,0.6264,0.676,-0.0496
H,3,66,RandomForest,0.8036,0.6127,0.5651,0.5879,0.676,-0.0881
P,0,96,GradientBoosting,0.8604,0.7874,0.5981,0.6798,0.6798,0.0
P,1,50,GradientBoosting,0.8598,0.7871,0.5955,0.678,0.6798,-0.0018
P,2,39,GradientBoosting,0.8394,0.7977,0.4715,0.5927,0.6798,-0.0871
P,3,20,GradientBoosting,0.8369,0.7994,0.4567,0.5813,0.6798,-0.0985
P,0,96,LogisticRegression,0.8443,0.7322,0.5865,0.6513,0.6513,0.0
P,1,50,LogisticRegression,0.8429,0.7289,0.583,0.6478,0.6513,-0.0035
P,2,39,LogisticRegression,0.8202,0.7305,0.4353,0.5456,0.6513,-0.1057
P,3,20,LogisticRegression,0.8095,0.7078,0.3943,0.5064,0.6513,-0.1449
P,0,96,RandomForest,0.8521,0.7394,0.6227,0.676,0.676,0.0
P,1,50,RandomForest,0.843,0.7106,0.6186,0.6614,0.676,-0.0146
P,2,39,RandomForest,0.8103,0.6478,0.5143,0.5733,0.676,-0.1027
P,3,20,RandomForest,0.8214,0.7067,0.4781,0.5704,0.676,-0.1056
R,0,96,GradientBoosting,0.8604,0.7874,0.5981,0.6798,0.6798,0.0
R,1,55,GradientBoosting,0.859,0.7856,0.5932,0.676,0.6798,-0.0038
R,2,50,GradientBoosting,0.8598,0.7871,0.5955,0.678,0.6798,-0.0018
R,3,39,GradientBoosting,0.8394,0.7977,0.4715,0.5927,0.6798,-0.0871
R,0,96,LogisticRegression,0.8443,0.7322,0.5865,0.6513,0.6513,0.0
R,1,55,LogisticRegression,0.8429,0.7289,0.583,0.6478,0.6513,-0.0035
R,2,50,LogisticRegression,0.8429,0.7289,0.583,0.6478,0.6513,-0.0035
R,3,39,LogisticRegression,0.8202,0.7305,0.4353,0.5456,0.6513,-0.1057
R,0,96,RandomForest,0.8521,0.7394,0.6227,0.676,0.676,0.0
R,1,55,RandomForest,0.8439,0.7139,0.6178,0.6624,0.676,-0.0136
R,2,50,RandomForest,0.843,0.7106,0.6186,0.6614,0.676,-0.0146
R,3,39,RandomForest,0.8103,0.6478,0.5143,0.5733,0.676,-0.1027
